,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
356,Fantastic Mr. Fox,2009,7.9,83.0,224219,21.0,87
357,Downfall,2004,8.2,82.0,349645,5.51,156
358,Boyhood,2014,7.9,100.0,350256,25.38,165
359,The Reader,2008,7.6,58.0,241116,34.19,124
360,The Great Escape,1963,8.2,86.0,240300,12.1,172
361,Magnolia,1999,8.0,77.0,307421,22.46,188
362,True Grit,2010,7.6,80.0,333130,171.24,110
363,Rear Window,1954,8.5,100.0,479597,36.76,112
364,Gone Baby Gone,2007,7.6,72.0,268720,20.3,114
365,Million Dollar Baby,2004,8.1,86.0,674227,100.49,132
366,Incredibles 2,2018,7.6,80.0,284236,608.58,118
367,Deliverance,1972,7.7,80.0,106602,7.06,109
368,The Maltese Falcon,1941,8.0,97.0,156505,2.11,100
369,Sense and Sensibility,1995,7.7,84.0,113411,43.18,136
370,Princess Mononoke,1997,8.4,76.0,380820,2.38,134
371,The Fighter,2010,7.8,79.0,359483,93.62,116
372,Seven Samurai,1954,8.6,98.0,338275,0.27,207
373,Big Hero 6,2014,7.8,74.0,446744,222.53,102
374,Planet of the Apes,1968,8.0,79.0,177072,33.4,112
375,The Untouchables,1987,7.9,79.0,302799,76.27,119
376,The Theory of Everything,2014,7.7,71.0,439419,35.89,123
377,Mary Poppins,1964,7.8,88.0,168912,102.27,139
378,Misery,1990,7.8,75.0,202664,61.28,107
379,Dawn of the Planet of the Apes,2014,7.6,79.0,433035,208.55,130
380,Mulan,1998,7.6,71.0,278931,120.62,88
381,It's a Wonderful Life,1946,8.6,89.0,443845,,130
382,Some Like It Hot,1959,8.2,98.0,261687,25.0,121
383,The Count of Monte Cristo,2002,7.7,61.0,136260,54.23,131
384,Blood Diamond,2006,8.0,64.0,535940,57.37,143
385,The Fugitive,1993,7.8,87.0,287953,183.88,130
386,The Pursuit of Happyness,2006,8.0,64.0,494387,163.57,117
387,Blazing Saddles,1974,7.7,73.0,136284,119.5,93
388,Sound of Metal,2019,7.7,82.0,118514,,120
389,Groundhog Day,1993,8.1,72.0,613103,70.91,101
390,Primal Fear,1996,7.7,47.0,207866,56.12,129
391,Y tu mamá también,2001,7.7,88.0,121552,13.62,106
392,Lawrence of Arabia,1962,8.3,100.0,287378,44.82,218
393,Adaptation.,2002,7.7,83.0,189915,22.25,115
394,Paddington 2,2017,7.8,88.0,72838,40.44,103
395,Remember the Titans,2000,7.8,48.0,211139,115.65,113
396,The Last of the Mohicans,1992,7.7,76.0,165452,75.51,112
397,The Thin Red Line,1998,7.6,78.0,185094,36.4,170
398,Rosemary's Baby,1968,8.0,96.0,210321,,137
399,Falling Down,1993,7.6,56.0,185977,40.9,113
400,The Fault in Our Stars,2014,7.7,69.0,368128,124.87,126
401,Raging Bull,1980,8.2,89.0,345366,23.38,129
402,Lord of War,2005,7.6,62.0,310540,24.15,122
403,Life of Pi,2012,7.9,79.0,615802,124.99,127
404,A Bronx Tale,1993,7.8,80.0,138264,17.27,121
405,A Fistful of Dollars,1964,7.9,65.0,212890,14.5,99
406,The Graduate,1967,8.0,83.0,268897,104.95,106
407,Jai Bhim,2021,8.9,,187136,,164
408,Cabaret,1972,7.7,80.0,53918,42.77,124
409,Walk the Line,2005,7.8,72.0,247121,119.52,136
410,Baahubali: The Beginning,2015,8.0,,116472,6.74,159
411,Slumdog Millionaire,2008,8.0,84.0,832544,141.32,120
412,The Invisible Guest,2016,8.0,,169888,,106
413,JFK,1991,8.0,72.0,153182,70.41,189
414,Gravity,2013,7.7,96.0,810615,274.09,91
415,Portrait of a Lady on Fire,2019,8.1,95.0,85392,3.76,122
416,Despicable Me,2010,7.6,72.0,532065,251.51,95
417,Kill Bill: Vol. 2,2004,8.0,83.0,735418,66.21,137
418,Citizen Kane,1941,8.3,100.0,433495,1.59,119
419,Road to Perdition,2002,7.7,72.0,263043,104.45,117
420,Rise of the Planet of the Apes,2011,7.6,68.0,518895,176.76,105
421,Toy Story 3,2010,8.3,92.0,811750,415.0,103
422,Vertigo,1958,8.3,100.0,393666,3.2,128
423,Who Framed Roger Rabbit,1988,7.7,83.0,196335,156.45,104
424,Spartacus,1960,7.9,87.0,132994,30.0,197
425,To Kill a Mockingbird,1962,8.3,88.0,311245,,129
426,Goldfinger,1964,7.7,87.0,186646,51.08,110
427,The Birds,1963,7.7,90.0,184894,11.4,119
428,The King's Speech,2010,8.0,88.0,670046,138.8,118
429,3:10 to Yuma,2007,7.7,76.0,305717,53.61,122
430,Singin' in the Rain,1952,8.3,99.0,236444,8.82,103
431,Scent of a Woman,1992,8.0,59.0,288170,63.9,156
432,The Boondock Saints,1999,7.7,44.0,237030,0.03,108
433,Serenity,2005,7.8,74.0,293543,25.51,119
